wan

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
16,0.037,0.217,0.033,0.625,0.334,11,15
17,0.005,0.092,0.000,0.200,0.000,1,5
18,0.000,0.000,0.000,0.250,0.000,1,4
19,0.000,0.000,0.000,0.250,0.000,1,4
20,0.028,0.079,0.020,0.412,0.185,8,16
21,0.037,0.054,0.018,0.444,0.123,4,9
22,0.000,0.000,0.000,0.000,0.000,2,3
23,0.035,0.276,0.026,0.440,0.376,13,23
24,0.030,0.287,0.036,0.543,0.254,30,24
25,0.018,0.190,0.022,0.474,0.214,15,13
26,0.012,0.193,0.015,0.286,0.219,9,9
27,0.048,0.184,0.043,0.474,0.272,13,15
28,0.031,0.212,0.026,0.667,0.187,17,18
29,0.025,0.079,0.014,0.417,0.210,5,12
30,0.026,0.092,0.019,0.600,0.182,6,10
31,0.026,0.154,0.017,0.438,0.235,8,15
32,0.009,0.040,0.008,0.333,0.065,5,7
33,0.009,0.070,0.007,0.286,0.110,3,6
34,0.025,0.160,0.029,0.409,0.191,17,14
35,0.041,0.137,0.025,0.467,0.176,8,14
36,0.024,0.340,0.049,0.412,0.362,32,16
37,0.028,0.332,0.030,0.600,0.312,20,20
38,0.004,0.077,0.024,0.118,0.076,32,6
39,0.040,0.201,0.035,0.385,0.315,8,10
40,1.000,0.000,1.000,0.000,1.000,0,8
41,0.025,0.106,0.012,0.300,0.145,8,18
42,0.021,0.309,0.036,0.440,0.339,22,14
43,0.035,0.332,0.043,0.545,0.383,27,24
44,0.031,0.284,0.029,0.500,0.364,16,20
45,0.034,0.103,0.023,0.455,0.208,6,10
46,0.024,0.133,0.031,0.267,0.254,9,10
47,0.031,0.284,0.031,0.480,0.368,17,20
48,0.029,0.198,0.026,0.360,0.266,16,18
49,0.035,0.187,0.009,0.217,0.178,5,23
50,0.037,0.370,0.032,0.708,0.415,18,23
51,0.037,0.062,0.023,0.333,0.184,4,8
52,0.038,0.184,0.037,0.562,0.316,11,14
53,0.067,0.123,0.034,0.375,0.295,3,8
54,0.092,0.093,0.048,0.250,0.395,3,7
55,0.012,0.254,0.017,0.500,0.236,11,10
56,0.031,0.162,0.034,0.500,0.204,14,13
57,0.017,0.023,0.000,0.125,0.000,1,8
58,1.000,0.000,1.000,0.000,1.000,0,4
59,0.016,0.174,0.011,0.385,0.238,6,12
60,0.068,0.121,0.051,0.500,0.382,4,8
61,0.026,0.221,0.034,0.393,0.329,20,19
62,0.016,0.074,0.019,0.364,0.146,6,9
63,0.029,0.009,0.000,0.053,0.000,1,19
64,0.010,0.099,0.011,0.267,0.118,9,10
65,0.017,0.086,0.014,0.500,0.141,6,9
66,0.041,0.158,0.022,0.417,0.270,5,12
67,0.010,0.148,0.009,0.167,0.129,6,8
68,0.017,0.054,0.005,0.286,0.081,2,7
69,0.017,0.013,0.000,0.167,0.000,1,6
70,0.000,0.000,0.000,0.333,0.000,2,6
71,0.014,0.093,0.017,0.364,0.139,8,7
72,0.007,0.025,0.005,0.333,0.043,3,5
73,1.000,0.000,1.000,0.000,1.000,0,3
74,1.000,0.000,1.000,0.000,1.000,0,5
75,1.000,0.000,1.000,0.000,1.000,0,3
76,1.000,0.000,1.000,0.000,1.000,0,4
77,0.004,0.106,0.000,0.250,0.000,1,4
78,0.023,0.037,0.015,0.333,0.156,2,6
79,1.000,0.000,1.000,0.000,1.000,0,3

strong ON
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,1.000,0.000,1.000,0.000,1.000,0,1
1,0.111,0.331,0.076,0.500,0.311,3,3
2,0.109,0.245,0.095,0.500,0.243,7,5
3,0.000,0.000,0.167,0.250,0.167,2,3
4,0.054,0.338,0.119,0.286,0.270,7,2
5,0.065,0.104,0.105,0.167,0.186,4,3
6,0.000,0.000,0.143,0.200,0.167,2,4
7,1.000,0.000,1.000,0.000,1.000,0,1
8,0.056,0.236,0.119,0.429,0.247,7,3
9,0.000,0.000,0.000,0.500,0.000,1,2
10,0.069,0.086,0.049,0.750,0.114,3,4
11,0.081,0.183,0.113,0.429,0.362,5,5
12,0.106,0.164,0.038,0.286,0.125,3,6
13,1.000,1.000,1.000,1.000,1.000,0,0
14,0.000,1.000,0.000,0.000,0.000,1,0
15,0.014,0.200,0.037,0.250,0.156,4,1
16,0.085,0.273,0.090,0.500,0.233,8,7
17,1.000,1.000,1.000,1.000,1.000,0,0
18,1.000,1.000,1.000,0.000,1.000,0,1
19,1.000,1.000,1.000,0.000,0.000,1,0
20,1.000,0.000,1.000,0.000,1.000,0,1
21,0.167,0.250,0.200,0.667,0.150,3,2
22,0.000,0.000,0.000,0.500,0.000,1,2
23,0.065,0.310,0.073,0.333,0.135,6,2
24,0.030,0.050,0.045,0.400,0.139,3,4
25,0.074,0.167,0.125,0.167,0.192,4,3
26,0.077,0.250,0.071,1.000,0.238,2,2
27,0.084,0.240,0.109,0.667,0.194,12,8
28,0.075,0.207,0.072,0.667,0.205,7,8
29,0.000,0.000,0.000,1.000,0.000,1,1
30,0.029,0.054,0.028,1.000,0.057,5,5
31,0.119,0.221,0.076,0.667,0.251,4,6
32,0.080,0.103,0.071,0.500,0.114,3,3
33,1.000,0.000,1.000,0.000,1.000,0,3
34,0.068,0.226,0.059,0.833,0.230,5,6
35,0.063,0.164,0.010,0.286,0.042,2,7
36,1.000,0.333,1.000,0.000,1.000,0,3
37,0.040,0.077,0.048,0.571,0.080,6,5
38,0.000,0.000,0.068,0.071,0.049,14,1
39,0.033,0.306,0.024,0.333,0.138,2,2
40,0.000,0.000,0.000,0.000,0.000,1,2
41,0.031,0.029,0.000,0.500,0.000,4,5
42,0.050,0.056,0.037,0.667,0.125,2,3
43,0.069,0.306,0.078,0.000,0.149,5,2
44,0.154,0.321,0.051,0.333,0.183,2,6
45,0.085,0.300,0.086,1.000,0.300,5,5
46,0.000,0.000,0.000,0.500,0.000,1,2
47,0.091,0.242,0.049,0.667,0.196,2,3
48,0.106,0.275,0.083,0.800,0.243,5,4
49,0.130,0.204,0.089,0.571,0.360,4,7
50,0.147,0.266,0.025,0.375,0.093,3,8
51,0.000,0.000,0.000,1.000,0.000,1,1
52,0.070,0.194,0.063,0.778,0.167,8,8
53,0.145,0.313,0.105,0.600,0.411,3,5
54,0.145,0.313,0.105,0.600,0.411,3,5
55,1.000,1.000,1.000,1.000,1.000,0,0
56,0.048,0.265,0.103,0.364,0.188,11,4
57,1.000,0.000,1.000,0.000,1.000,0,2
58,1.000,1.000,1.000,1.000,1.000,0,0
59,0.077,0.250,0.071,1.000,0.238,2,2
60,0.128,0.417,0.130,1.000,0.419,4,4
61,1.000,1.000,1.000,1.000,1.000,0,0
62,0.050,0.167,0.000,0.000,0.000,3,1
63,0.000,0.000,0.000,1.000,0.000,1,1
64,0.000,0.000,0.080,0.333,0.133,3,1
65,0.000,0.000,0.000,0.000,0.000,1,2
66,0.060,0.310,0.047,0.800,0.202,4,5
67,1.000,1.000,1.000,0.000,0.000,1,0
68,1.000,0.000,1.000,0.000,1.000,0,2
69,1.000,0.000,1.000,0.000,1.000,0,1
70,1.000,0.000,1.000,0.000,1.000,0,1
71,0.167,0.250,0.182,0.667,0.150,3,2
72,0.020,0.156,0.019,1.000,0.080,2,2
73,1.000,0.000,1.000,0.000,1.000,0,1
74,0.000,0.000,0.000,1.000,0.000,1,1
75,1.000,1.000,1.000,1.000,1.000,0,0
76,1.000,1.000,1.000,1.000,1.000,0,0
77,0.000,0.000,0.000,1.000,0.000,1,1
78,0.182,0.333,0.182,1.000,0.250,2,2
79,1.000,1.000,1.000,1.000,1.000,0,0

weak ON
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.019,0.178,0.012,0.182,0.079,6,7
1,0.029,0.061,0.000,0.091,0.000,2,10
2,0.042,0.110,0.018,0.000,0.080,8,11
3,0.044,0.122,0.052,0.333,0.129,22,14
4,0.014,0.139,0.034,0.071,0.183,10,5
5,0.054,0.029,0.000,0.062,0.000,2,15
6,0.041,0.108,0.037,0.381,0.129,15,14
7,0.000,0.000,0.000,0.000,0.000,2,2
8,0.023,0.086,0.021,0.286,0.117,2,7
9,0.003,0.051,0.115,0.026,0.064,77,2
10,0.008,0.044,0.008,0.000,0.034,6,3
11,0.025,0.102,0.015,0.222,0.162,4,7
12,0.010,0.028,0.015,0.000,0.093,6,7
13,0.009,0.036,0.006,0.111,0.033,3,7
14,0.007,0.072,0.112,0.025,0.059,78,3
15,0.000,0.000,0.000,0.000,0.000,3,5
16,0.115,0.079,0.020,0.143,0.071,2,6
17,1.000,0.000,1.000,0.000,1.000,0,2
18,1.000,0.000,1.000,0.000,0.000,1,3
19,1.000,0.000,1.000,0.000,1.000,0,3
20,0.041,0.072,0.006,0.000,0.018,7,11
21,0.000,0.000,0.000,0.000,0.000,1,4
22,1.000,0.000,1.000,0.000,1.000,0,2
23,0.055,0.134,0.024,0.158,0.153,7,15
24,0.044,0.104,0.014,0.267,0.082,7,12
25,0.026,0.093,0.022,0.273,0.134,7,7
26,0.000,0.000,0.000,0.000,0.000,1,4
27,0.000,0.000,0.000,0.000,0.000,1,4
28,0.017,0.101,0.020,0.308,0.056,10,7
29,0.013,0.051,0.009,0.375,0.061,4,7
30,0.000,0.000,0.000,0.000,0.000,1,2
31,0.021,0.085,0.010,0.333,0.071,5,7
32,0.011,0.021,0.000,0.000,0.000,2,4
33,0.000,0.000,0.000,0.000,0.000,2,2
34,0.000,0.000,0.021,0.222,0.064,6,5
35,0.027,0.064,0.027,0.333,0.063,6,6
36,0.036,0.172,0.029,0.214,0.206,8,9
37,0.029,0.172,0.040,0.333,0.178,14,10
38,0.006,0.026,0.016,0.000,0.028,17,5
39,0.020,0.043,0.049,0.167,0.139,6,8
40,0.222,0.045,0.000,0.000,0.000,1,6
41,0.018,0.083,0.019,0.200,0.160,5,7
42,0.019,0.118,0.013,0.250,0.151,4,6
43,0.064,0.158,0.052,0.296,0.196,16,19
44,0.039,0.109,0.007,0.083,0.052,4,9
45,0.000,0.000,0.000,0.000,0.000,1,3
46,0.000,0.000,0.000,0.250,0.000,2,3
47,0.043,0.102,0.009,0.167,0.117,3,11
48,0.026,0.080,0.027,0.143,0.117,9,7
49,0.021,0.062,0.010,0.100,0.115,3,8
50,0.021,0.099,0.034,0.286,0.165,10,8
51,0.014,0.050,0.013,0.167,0.056,3,4
52,0.000,0.000,0.035,0.000,0.153,3,3
53,0.000,0.000,0.000,0.000,0.000,1,3
54,1.000,0.000,1.000,0.000,1.000,0,3
55,1.000,0.000,1.000,0.000,1.000,0,6
56,0.500,0.018,0.000,0.000,0.000,3,7
57,0.000,0.000,0.000,0.333,0.000,1,3
58,1.000,0.000,1.000,0.000,1.000,0,3
59,0.016,0.135,0.000,0.000,0.000,1,3
60,1.000,0.000,1.000,0.000,1.000,0,4
61,0.035,0.059,0.009,0.143,0.098,4,12
62,1.000,0.000,1.000,0.000,1.000,0,5
63,0.036,0.152,0.020,0.231,0.153,8,8
64,0.010,0.087,0.010,0.000,0.047,6,4
65,0.040,0.021,0.000,0.000,0.000,2,6
66,0.000,0.000,0.000,0.000,0.000,1,4
67,0.030,0.055,0.005,0.000,0.018,5,7
68,1.000,0.000,1.000,0.000,1.000,0,2
69,1.000,0.000,1.000,0.000,0.000,1,4
70,0.000,0.000,0.000,0.250,0.000,2,3
71,0.020,0.107,0.006,0.125,0.025,4,5
72,0.000,0.000,0.000,0.000,0.000,1,1
73,1.000,0.000,1.000,0.000,1.000,0,2
74,1.000,0.000,1.000,0.000,1.000,0,3
75,1.000,0.000,1.000,0.000,1.000,0,2
76,1.000,0.000,1.000,0.000,1.000,0,2
77,1.000,0.000,1.000,0.000,1.000,0,1
78,1.000,0.000,1.000,0.000,1.000,0,2
79,1.000,0.000,1.000,0.000,1.000,0,2

ON
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
0,0.014,0.154,0.011,0.167,0.129,6,8
1,0.045,0.155,0.022,0.385,0.292,5,13
2,0.047,0.223,0.040,0.348,0.276,15,16
3,0.043,0.202,0.050,0.414,0.224,24,17
4,0.016,0.207,0.049,0.200,0.351,17,7
5,0.045,0.119,0.011,0.263,0.097,6,18
6,0.049,0.208,0.039,0.522,0.236,17,18
7,0.009,0.030,0.016,0.250,0.121,2,3
8,0.027,0.144,0.030,0.727,0.185,9,10
9,0.004,0.070,0.086,0.051,0.098,78,4
10,0.013,0.120,0.013,0.333,0.102,9,7
11,0.040,0.202,0.031,0.500,0.314,9,12
12,0.036,0.181,0.034,0.400,0.371,9,12
13,0.013,0.060,0.010,0.111,0.159,3,7
14,0.004,0.100,0.087,0.038,0.097,79,3
15,0.011,0.085,0.011,0.182,0.079,7,6
16,0.059,0.283,0.051,0.769,0.371,10,13
17,1.000,0.000,1.000,0.000,1.000,0,2
18,0.000,0.000,0.000,0.250,0.000,1,4
19,0.000,0.000,0.000,0.333,0.000,1,3
20,0.023,0.092,0.009,0.000,0.063,7,12
21,0.020,0.050,0.018,0.429,0.106,4,6
22,0.000,0.000,0.000,0.250,0.000,1,4
23,0.049,0.225,0.040,0.429,0.350,13,17
24,0.032,0.144,0.019,0.368,0.176,10,16
25,0.027,0.146,0.028,0.500,0.196,11,10
26,0.008,0.067,0.008,0.286,0.098,3,6
27,0.057,0.255,0.057,0.562,0.282,13,12
28,0.033,0.181,0.030,0.524,0.134,17,15
29,0.010,0.055,0.012,0.444,0.122,5,8
30,0.019,0.095,0.023,0.625,0.151,6,7
31,0.034,0.162,0.023,0.571,0.225,9,13
32,0.023,0.101,0.011,0.200,0.069,5,7
33,0.010,0.112,0.005,0.400,0.066,2,5
34,0.036,0.169,0.044,0.571,0.258,11,11
35,0.045,0.164,0.031,0.615,0.194,8,13
36,0.035,0.182,0.021,0.429,0.219,8,12
37,0.028,0.181,0.040,0.458,0.222,20,15
38,0.007,0.095,0.035,0.088,0.088,31,6
39,0.044,0.211,0.046,0.385,0.337,8,10
40,0.040,0.073,0.010,0.250,0.101,2,8
41,0.030,0.153,0.021,0.400,0.173,9,12
42,0.030,0.193,0.020,0.500,0.244,6,9
43,0.055,0.236,0.053,0.556,0.303,21,21
44,0.049,0.178,0.021,0.400,0.261,6,15
45,0.042,0.136,0.030,0.556,0.232,6,8
46,0.010,0.065,0.008,0.600,0.051,3,5
47,0.046,0.163,0.017,0.357,0.221,5,14
48,0.027,0.180,0.039,0.389,0.304,14,11
49,0.046,0.159,0.022,0.375,0.245,7,15
