bms

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
18,0.014,0.039,0.010,0.300,0.050,7,6
19,0.024,0.041,0.024,0.462,0.048,10,9
20,0.000,0.000,0.000,0.000,0.000,1,2
21,0.000,0.000,0.006,0.429,0.025,5,5
22,0.039,0.074,0.041,0.286,0.205,4,5
23,0.000,0.000,0.000,0.000,0.000,1,1
24,0.022,0.036,0.000,0.200,0.000,2,4
25,0.030,0.156,0.040,0.125,0.164,5,4
26,0.023,0.086,0.028,0.143,0.162,3,5
27,0.009,0.032,0.024,0.286,0.053,12,6
28,0.007,0.008,0.016,0.231,0.037,8,8
29,0.000,0.000,0.018,0.000,0.103,4,1
30,0.000,0.000,0.000,0.000,0.000,2,5
31,0.037,0.017,0.000,0.200,0.000,2,4
32,0.024,0.025,0.033,0.000,0.222,2,10
33,0.025,0.036,0.000,0.111,0.000,3,7
34,0.000,0.000,0.018,0.143,0.056,2,6
35,0.013,0.067,0.006,0.167,0.050,4,3
36,0.000,0.000,0.011,0.286,0.033,6,3
37,0.000,0.000,0.000,0.111,0.000,2,8
38,0.000,0.000,0.000,0.125,0.000,3,6
39,0.000,0.000,0.000,0.167,0.000,4,3
40,0.016,0.038,0.012,0.417,0.030,9,8
41,0.000,0.000,0.000,0.000,0.000,5,2
42,0.009,0.229,0.008,0.286,0.137,4,5
43,0.014,0.025,0.021,0.286,0.059,4,5
44,0.009,0.116,0.033,0.300,0.081,9,4
45,0.000,0.000,0.000,0.143,0.000,3,5
46,0.000,0.000,0.000,0.125,0.000,1,8
47,0.042,0.094,0.033,0.667,0.125,5,5
48,0.000,0.000,0.023,0.000,0.125,2,8
49,0.000,0.000,0.000,0.167,0.000,1,6
50,0.000,0.000,0.000,0.125,0.000,4,5
51,0.026,0.060,0.014,0.182,0.062,5,8
52,0.016,0.034,0.018,0.333,0.092,4,8
53,0.026,0.095,0.034,0.357,0.080,13,6
54,1.000,0.000,1.000,0.000,1.000,0,5
